id,hotel_name,description,features,room_type,price,price_description,location,location_description,contact_no,ratings,reviews
1,The Highlands by Unique Hotels,The Highlands are centrally located in Nuwara Eliya city. Its modern design presents a wonderful complementary contrast to the surrounding picturesque landscapes of emerald greens. Overlooking the Lake ...More Gregory  the Piduruthalagala Mountain and one of Nuwara Eliyas oldest tea estates  The Highlands is the perfect place to get away from the hustle and bustle of city living whilst enjoying some high-tea or a candle-lit dinner as you take in the scenery. The hotel is walking distance to the Nuwara Eliya golf course  scenic Victoria Park  and esteemed race course. The Nuwara Eliya market  famous for street vendors  merchants  and restaurants  is only a 10-minute walk away and the Nanu Oya Railway station  Nuwara Eliyas closest station  is only 6.8km away. The Highlands features a 24-hour reception  as well as an around-the-clock housekeeping team and security guards. Less,Free ParkingRestaurantFree High Speed Internet (WiFi)Airport TransportationBreakfast AvailableConciergeMultilingual Staff,non,LKR12 725,null,41/3a Unique View Road  Nuwara Eliya 22200  Sri Lanka, ,,,
2,The Blackpool Hotel,Plush and well appointed rooms with multiple dining  bars  convention  recreation  and warm water pool ...More Less,PoolRoom ServiceFree ParkingRestaurantBar/LoungeFree High Speed Internet (WiFi)Breakfast includedBabysittingBanquet RoomBusiness Center with Internet AccessConciergeConference FacilitiesDry CleaningHeated poolLaundry ServiceMeeting RoomsMinibarMultilingual StaffWheelchair accessBeachfrontSpaFitness Center with Gym / Workout Room,non,LKR46 947,null,Mahagastota Hill Climb  Blackpool  Nuwara Eliya 22200  Sri Lanka, ,,,
3,Unique Cottages,Situated at the heart of Nuwara Eliyas city centre  Unique Cottages is a cosy  ambient  and picturesque lodging surrounded by lush green gardens and the breathtaking views of Gregory Lake and Piduruthalagala ...More Mountain. Unique cottages is the perfect place to get away from the hustle and bustle of city living whilst enjoying some high-tea as you take in the scenery. The hotel is walking distance to the Nuwara Eliya golf course  the scenic Victoria Park  and esteemed race course. The Nuwara Eliya market  famous for its street vendors  merchants  and restaurants  is only a 10-minute walk away  and Nanu Oya  Nuwara Eliyas closest railway station is 7.5km away. Less,Free ParkingFree High Speed Internet (WiFi)Breakfast includedRoom ServiceRestaurantAirport TransportationBreakfast AvailableBusiness Center with Internet AccessConciergeDry CleaningLaundry ServiceMultilingual Staff,non,LKR14 266,null,112/3 Glenfall Road  Nuwara Eliya 22200  Sri Lanka, ,,,
4,Tea Plant,Tea Plant is a boutique hotel in the hills of Nuwara Eliya. Located overlooking Gregory Lake  the hotel offers 9 plush rooms designed to provide utmost comfort. All rooms are largely white in colour  the ...More bedding and the curtains are tastefully decorated using delicate hues of blues and matt gold creating an overall cosy atmosphere. Less,Free ParkingRestaurantFree High Speed Internet (WiFi)Room ServiceBreakfast includedAirport TransportationLaundry ServiceMinibarMultilingual StaffRefrigerator in room,non,LKR30 990,null,211 Upper Lake Road   Magasthota  Nuwara Eliya 22200  Sri Lanka, ,,,
5,The Highlands by Unique Hotels,The Highlands are centrally located in Nuwara Eliya city. Its modern design presents a wonderful complementary contrast to the surrounding picturesque landscapes of emerald greens. Overlooking the Lake ...More Gregory  the Piduruthalagala Mountain and one of Nuwara Eliyas oldest tea estates  The Highlands is the perfect place to get away from the hustle and bustle of city living whilst enjoying some high-tea or a candle-lit dinner as you take in the scenery. The hotel is walking distance to the Nuwara Eliya golf course  scenic Victoria Park  and esteemed race course. The Nuwara Eliya market  famous for street vendors  merchants  and restaurants  is only a 10-minute walk away and the Nanu Oya Railway station  Nuwara Eliyas closest station  is only 6.8km away. The Highlands features a 24-hour reception  as well as an around-the-clock housekeeping team and security guards. Less,Free ParkingRestaurantFree High Speed Internet (WiFi)Airport TransportationBreakfast AvailableConciergeMultilingual Staff,non,LKR12 725,null,41/3a Unique View Road  Nuwara Eliya 22200  Sri Lanka, ,,,
6,Anantaya Resort & Spa Chilaw,"Situated 66 km north of the Bandaranaike International Airport and a 20 minute drive from the city of Chilaw lies the village of Karukupone, a place of breathtaking natural beauty with a vast, sandy beach ...More kissed by a sea of the bluest hue. This is home to Anantaya, a luxury resort in an idyllic setting for the discerning traveller. Less","Beachfront,Pool,Room Service,Free Parking,Restaurant,Bar/Lounge,Spa,Free High Speed Internet (WiFi),Breakfast included,Fitness Center with Gym / Workout Room,Air Conditioning,Airport Transportation,Banquet Room,Business Center with Internet Access,Concierge,Conference Facilities,Dry Cleaning,Hot Tub,Laundry Service,Meeting Rooms,Minibar,Outdoor pool,Wheelchair access","Suites, Non-Smoking Rooms, Family Rooms","LKRÊ15,550",null,"Chilaw 61000,",,032 2 233200,,
7,Araliya Green City,Araliya Green City consists of 192 Rooms and Suites. All of which are spacious and boasts magnificent views of the nearby Mount Pedro Ð the highest point in Sri Lanka or lush gardens of nearby Victoria Park and the ...More greens of nearby famous Nuwara Eliya Golf Course. The upper floors offer you a generous view of historical Gregory Lake and ÒEpsom Derby of Sri LankaÓ Ð Nuwara Eliya Race Course. All rooms and suites offer the ultimate Òhome away from homeÓ style living with ample space and tastefully appointed all wooden furnishing that reflect the traditional grandeur and luxury living . Less,"Pool,Room Service,Free Parking,Restaurant,Bar/Lounge,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Spa,Breakfast included,Babysitting,Banquet Room,Breakfast Available,Business Center with Internet Access,Concierge,Conference Facilities,Dry Cleaning,Heated pool,Hot Tub,Indoor pool,Laundry Service,Meeting Rooms,Minibar,Non-Smoking Hotel,Refrigerator in room,Wheelchair access","Suites, Kitchenette, Non-Smoking Rooms, Family Rooms","LKRÊ33,896",null,"Nuwara Eliya 22200,",,,,
8,Beauty Mount Tourist Inn,,Free High Speed Internet (WiFi),,"LKRÿ2,449",null,"Ella 90090,",,,,
9,"Ceylon City Hotel, Colombo","Ceylon City Hotel, situated at 11, Upatissa Road, Colombo-04 is the latest hotel to join the Sri Lankan Hospitality Industry and with the modern facilities available Ceylon City Hotel is one of the finest ...More business and leisure hotels in Colombo. Ceylon City Hotel comprises of 3 rooms categories namely Junior Suite, Deluxe and Standard rooms and all rooms consist of King Size Beds, Mini Bar, 32 LCD TV with satellite connection, Air Condition, Spacious Sofa, Coffee Table, TV Table, Dressing Table and Hospitality tray with tea coffee making facilities. In addition to these facilities Ceylon City also has 24-hour room service, very spacious Restaurant that also can be used for special occasions, conference hall and a very unique eye catching lobby and a coffee shop. Due to excellence in Service & Quality Level Trip Advisor named Ceylon City Hotel as one Traveller Choice award winners in 2016. Ceylon City Hotel was named 'Best Budget Hotel in Sri Lanka' for 2015 by Hotel of the Year Awards. Less","Free High Speed Internet (WiFi),Free Parking,Restaurant,Room Service,Air Conditioning,Airport Transportation,Concierge,Conference Facilities,Dry Cleaning,Laundry Service,Meeting Rooms,Minibar,Refrigerator in room,Wheelchair access,","Suites, Non-Smoking Rooms","LKR 8,321",null,"Colombo 00400,",,,,
10,Colombo Court Hotel & Spa,"Nestled in the heart of the city, is an urban boutique hotel that perfectly captures a fusion of contemporary style with intrinsic elements of environmental design. The hotel offers a choice of 15 suites & 17 rooms ...More complete with all modern features, 3 dining areas - Scarlet Room & Cloud Cafe, Loft Lounge Bar, a Library, Jacuzzi and Plunge Pool and even a corporate Gym. Less","Free High Speed Internet (WiFi),Pool,Free Parking,Room Service,Spa,Fitness Center with Gym / Workout Room,Restaurant,Bar/Lounge,Air Conditioning,Airport Transportation,Business Center with Internet Access,Concierge,Conference Facilities,Dry Cleaning,Laundry Service,Meeting Rooms,Minibar,Multilingual Staff,Outdoor pool",Suites,"LKRÊ14,181",null,"Colombo 00300,",,,,
